Stage,MinStat,MaxStat,MinTime,MaxTime
1,302,306,00:00:00,00:30:00
2,307,307,00:05:00,00:06:00
3,308,308,00:09:00,00:10:00
4,309,309,00:00:30,00:02:00
5,310,310,00:00:30,00:02:00
6,311,311,00:04:00,00:05:00
7,312,312,00:00:30,00:02:00
8,313,313,00:00:30,00:02:00
9,320,320,00:04:00,00:05:00
10,321,321,00:00:30,00:02:00
11,322,322,00:00:30,00:02:00
12,323,323,00:01:40,00:02:00
13,324,324,00:00:30,00:02:00
14,325,325,00:00:30,00:02:00
15,326,326,00:00:30,00:02:00
16,327,327,00:02:00,00:03:00
17,328,328,00:00:30,00:02:00
18,329,329,00:00:30,00:02:00
19,330,330,00:00:50,00:01:00
20,331,331,00:00:30,00:02:00
21,332,332,00:00:30,00:02:00
22,333,333,00:00:30,00:02:00
23,339,341,00:28:00,00:30:00
24,338,338,00:00:30,00:02:00
25,337,337,00:00:30,00:02:00
26,336,336,00:00:30,00:02:00
27,335,335,00:00:50,00:01:00
28,334,334,00:00:30,00:02:00
29,317,319,00:20:00,00:21:00
30,316,316,00:00:30,00:02:00
31,315,315,00:00:30,00:02:00
32,314,314,00:00:30,00:02:00
33,302,306,00:00:00,00:30:00
34,301,301,00:00:00,00:00:00
