Transporter_id,Min_Lift_Station,Max_Lift_Station,Min_Sink_Station,Max_Sink_Station,Avoid,Max_x_Position,Acceleration_time (s),Deceleration_time (s),Max_speed (mm/s),Z_total_distance (mm),Z_slow_distance_dry (mm),Z_slow_distance_wet (mm),Z_slow_end_distance (mm),Z_slow_speed (mm/s),Z_fast_speed (mm/s)
1,101,112,101,115,2,2.0,2.0,2.0,300,1800,300,1500,50,100,200
2,112,118,112,118,2,2.0,2.0,2.0,300,1800,300,1500,50,100,200
