Transporter_id,Model,Min_Lift_Station_100,Max_Lift_Station_100,Min_Sink_Station_100,Max_Sink_Station_100,Min_Lift_Station_200,Max_Lift_Station_200,Min_Sink_Station_200,Max_Sink_Station_200,Avoid
1,2D,101,110,101,115,0,0,0,0
2,2D,111,118,110,118,0,0,0,0
