Transporter_id,Min_x_position,Max_x_Position,Acceleration_time (s),Deceleration_time (s),Max_speed (mm/s),Z_total_distance (mm),Z_slow_distance_dry (mm),Z_slow_distance_wet (mm),Z_slow_end_distance (mm),Z_slow_speed (mm/s),Z_fast_speed (mm/s)
1,900,14500,2.0,2.0,300,1800,300,1500,50,100,200
2,11200,23800,2.0,2.0,300,1800,300,1500,50,100,200
3,18700,30100,2.0,2.0,300,1800,300,1500,50,100,200
